Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
15576064,2016/2/27 13:15,2016/2/27 13:29,70301,864,1039,Atwood St & Bates St,1045,S 27th St & Tunnel Blvd (Southside Works),Subscriber
15576065,2016/2/27 13:15,2016/2/27 13:29,70048,851,1039,Atwood St & Bates St,1045,S 27th St & Tunnel Blvd (Southside Works),Subscriber
15576077,2016/2/27 13:18,2016/2/27 13:54,70357,2142,1041,Fifth Ave & S Bouquet St,1040,Bigelow Blvd & Fifth Ave,Customer
15576120,2016/2/27 13:27,2016/2/27 13:33,70426,349,1020,42nd and Penn Ave.,1022,Liberty Ave & S Millvale Ave (West Penn Hospital),Subscriber
15576140,2016/2/27 13:33,2016/2/27 13:38,70363,292,1047,S 22nd St & E Carson St,1045,S 27th St & Tunnel Blvd (Southside Works),Subscriber
15576205,2016/2/27 13:51,2016/2/27 14:11,70363,1213,1045,S 27th St & Tunnel Blvd (Southside Works),1003,First Ave & Smithfield St (Art Institute),Subscriber
15576221,2016/2/27 13:56,2016/2/27 14:03,70426,450,1022,Liberty Ave & S Millvale Ave (West Penn Hospital),1026,S Whitfield St & Baum Blvd,Subscriber
15576257,2016/2/27 14:08,2016/2/27 14:17,70261,533,1020,42nd and Penn Ave.,1023,Liberty Ave & Baum Blvd,Subscriber
15576261,2016/2/27 14:09,2016/2/27 15:07,70356,3464,1046,S 25th St & E Carson St,1045,S 27th St & Tunnel Blvd (Southside Works),Customer
15576268,2016/2/27 14:11,2016/2/27 14:23,70270,731,1003,First Ave & Smithfield St (Art Institute),1007,Stevenson St & Forbes Ave,Subscriber
15576326,2016/2/27 14:25,2016/2/27 14:44,70070,1151,1005,Forbes Ave & Grant St,1049,S 12th St & E Carson St,Customer
15576333,2016/2/27 14:26,2016/2/27 14:45,70420,1120,1005,Forbes Ave & Grant St,1049,S 12th St & E Carson St,Customer
15576349,2016/2/27 14:30,2016/2/27 14:53,70277,1380,1002,Third Ave & Wood St,1009,12th St & Penn Ave,Customer
15576368,2016/2/27 14:35,2016/2/27 14:53,70273,1032,1002,Third Ave & Wood St,1009,12th St & Penn Ave,Customer
15576437,2016/2/27 14:55,2016/2/27 14:59,70314,258,1030,S Euclid Ave & Centre Ave,1023,Liberty Ave & Baum Blvd,Subscriber
15576440,2016/2/27 14:56,2016/2/27 15:02,70278,327,1038,Boulevard of the Allies & Parkview Ave,1037,Frew St & Schenley Dr,Subscriber
15576464,2016/2/27 15:03,2016/2/27 15:16,70245,789,1018,37th St & Butler St,1011,Fort Duquesne Blvd & 7th St,Subscriber
15576504,2016/2/27 15:17,2016/2/27 15:37,70330,1151,1039,Atwood St & Bates St,1045,S 27th St & Tunnel Blvd (Southside Works),Customer
15576507,2016/2/27 15:19,2016/2/27 15:22,70452,186,1050,Healthy Ride Hub,1018,37th St & Butler St,Customer
15576513,2016/2/27 15:19,2016/2/27 16:35,70225,4519,1038,Boulevard of the Allies & Parkview Ave,1038,Boulevard of the Allies & Parkview Ave,Customer
15576518,2016/2/27 15:21,2016/2/27 16:15,70447,3260,1038,Boulevard of the Allies & Parkview Ave,1038,Boulevard of the Allies & Parkview Ave,Customer
15576521,2016/2/27 15:22,2016/2/27 15:28,70240,371,1029,Alder St & S Highland Ave,1028,Penn Ave & Putnam St (Bakery Square),Subscriber
15576579,2016/2/27 15:51,2016/2/27 16:35,70465,2637,1038,Boulevard of the Allies & Parkview Ave,1038,Boulevard of the Allies & Parkview Ave,Customer
15576581,2016/2/27 15:53,2016/2/27 16:22,70302,1791,1038,Boulevard of the Allies & Parkview Ave,1001,Forbes Ave & Market Square,Subscriber
15576583,2016/2/27 15:54,2016/2/27 16:03,70368,556,1050,Healthy Ride Hub,1050,Healthy Ride Hub,Customer
15576613,2016/2/27 16:08,2016/2/27 16:28,70399,1190,1045,S 27th St & Tunnel Blvd (Southside Works),1041,Fifth Ave & S Bouquet St,Customer
15576626,2016/2/27 16:14,2016/2/27 16:43,70241,1715,1018,37th St & Butler St,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
15576628,2016/2/27 16:15,2016/2/27 16:22,70411,421,1050,Healthy Ride Hub,1050,Healthy Ride Hub,Customer
15576630,2016/2/27 16:15,2016/2/27 16:42,70309,1608,1018,37th St & Butler St,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
15576632,2016/2/27 16:16,2016/2/27 16:42,70379,1559,1018,37th St & Butler St,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
15576634,2016/2/27 16:16,2016/2/27 16:43,70289,1595,1018,37th St & Butler St,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
15576636,2016/2/27 16:17,2016/2/27 16:43,70471,1585,1018,37th St & Butler St,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
15576668,2016/2/27 16:28,2016/2/27 17:30,70219,3715,1017,21st St & Penn Ave,1001,Forbes Ave & Market Square,Customer
15576698,2016/2/27 16:41,2016/2/27 16:46,70399,304,1041,Fifth Ave & S Bouquet St,1038,Boulevard of the Allies & Parkview Ave,Subscriber
15576702,2016/2/27 16:41,2016/2/27 16:48,70033,423,1024,S Negley Ave & Baum Blvd,1033,Ivy St & Walnut St   ,Subscriber
15576730,2016/2/27 16:50,2016/2/27 17:04,70357,853,1041,Fifth Ave & S Bouquet St,1024,S Negley Ave & Baum Blvd,Customer
15576746,2016/2/27 16:54,2016/2/27 17:04,70277,635,1009,12th St & Penn Ave,1002,Third Ave & Wood St,Customer
15576747,2016/2/27 16:54,2016/2/27 17:05,70273,648,1009,12th St & Penn Ave,1002,Third Ave & Wood St,Customer
15576794,2016/2/27 17:11,2016/2/27 17:34,70411,1329,1050,Healthy Ride Hub,1040,Bigelow Blvd & Fifth Ave,Customer
15576805,2016/2/27 17:14,2016/2/27 18:08,70486,3250,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Subscriber
15576806,2016/2/27 17:14,2016/2/27 18:08,70232,3234,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Subscriber
