"","StationId","Month","Day","Year","Hour","Bike_out","MeanOfTripDuration_1","MedianOfTripDuration_1","MeanOfTripDuration_2","MedianOfTripDuration_2","Customer","Daily","Subscriber","Unknown","Bike_in"
"326",1000,"7","31","2015","22",2,2320.5,2320.5,2320.5,2320.5,2,0,0,0,0
"327",1000,"7","31","2015","8",1,288,288,288,288,0,0,1,0,2
"328",1000,"7","4","2015","10",2,900,900,900,900,2,0,0,0,2
"329",1000,"7","4","2015","11",5,1739.5,1953,2319.2,2054,5,0,0,0,2
"330",1000,"7","4","2015","12",3,501.5,501.5,1548,663,2,0,1,0,12
"331",1000,"7","4","2015","13",5,1887.4,1750,1887.4,1750,5,0,0,0,8
"332",1000,"7","4","2015","14",11,71.3333333333333,52,3091.11111111111,3928,11,0,0,0,8
"333",1000,"7","4","2015","15",13,331.833333333333,310,2791.3,651.5,8,0,5,0,13
"334",1000,"7","4","2015","16",5,1963,2313.5,1963,2313.5,5,0,0,0,8
"335",1000,"7","4","2015","17",4,1307.75,1000,1307.75,1000,3,0,1,0,8
"336",1000,"7","4","2015","18",6,3051.66666666667,2979,3729.66666666667,3493.5,6,0,0,0,2
"337",1000,"7","4","2015","19",0,0,0,0,0,0,0,0,0,10
