TripId,StartTime,StopTime,BikeId,TripDuration,FromStationId,FromStationName,ToStationId,ToStationName,UserType
15204044,2015/12/3 11:58,2015/12/3 12:15,70451,1031,1024,S Negley Ave & Baum Blvd,1040,Bigelow Blvd & 5th Ave,Customer
15204084,2015/12/3 12:02,2015/12/3 12:14,70355,679,1050,Healthy Ride Hub,1050,Healthy Ride Hub,Customer
15204150,2015/12/3 12:10,2015/12/3 12:19,70448,540,1040,Bigelow Blvd & 5th Ave,1038,Boulevard of the Allies & Parkview Ave,Subscriber
15204155,2015/12/3 12:11,2015/12/3 12:11,70240,14,1015,Federal St & E North Ave,1015,Federal St & E North Ave,Customer
15204216,2015/12/3 12:18,2015/12/3 12:30,70321,732,1031,Maryland Ave & Ellsworth Ave,1031,Maryland Ave & Ellsworth Ave,Customer
15204222,2015/12/3 12:18,2015/12/3 12:19,70256,14,1014,Ridge Ave & Brighton Rd (CCAC),1014,Ridge Ave & Brighton Rd (CCAC),Customer
15204274,2015/12/3 12:26,2015/12/3 12:45,70178,1110,1033,Ivy St & Walnut St,1043,Coltart Ave & Forbes Ave,Subscriber
15204294,2015/12/3 12:28,2015/12/3 13:53,70405,5050,1050,Healthy Ride Hub,1050,Healthy Ride Hub,Subscriber
15204311,2015/12/3 12:30,2015/12/3 12:30,70104,10,1039,Atwood St & Bates St,1039,Atwood St & Bates St,Subscriber
15204426,2015/12/3 12:42,2015/12/3 12:47,70360,264,1038,Boulevard of the Allies & Parkview Ave,1037,Frew St. & Schenley Dr.,Subscriber
15204427,2015/12/3 12:42,2015/12/3 12:53,70037,611,1034,Ellsworth Ave & N Neville St,1030,S Euclid Ave & Centre Ave,Subscriber
15204443,2015/12/3 12:45,2015/12/3 12:54,70120,562,1002,Third Ave & Wood St,1015,Federal St & E North Ave,Subscriber
15204479,2015/12/3 12:49,2015/12/3 12:57,70497,490,1032,Maryland Ave & Walnut St,1028,Penn Ave & Putnam St -- Bakery Square,Subscriber
15204513,2015/12/3 12:52,2015/12/3 13:25,70391,1967,1033,Ivy St & Walnut St,1034,Ellsworth Ave & N Neville St,Subscriber
15204657,2015/12/3 13:10,2015/12/3 13:20,70281,637,1049,S 12th St & E Carson St,1045,S 27th St & Tunnel Blvd (Southside Works),Customer
15204658,2015/12/3 13:10,2015/12/3 13:20,70311,603,1049,S 12th St & E Carson St,1045,S 27th St & Tunnel Blvd (Southside Works),Customer
15204660,2015/12/3 13:10,2015/12/3 13:20,70424,595,1049,S 12th St & E Carson St,1045,S 27th St & Tunnel Blvd (Southside Works),Subscriber
15204700,2015/12/3 13:16,2015/12/3 13:21,70104,261,1038,Boulevard of the Allies & Parkview Ave,1041,Fifth Ave & S Bouquet St,Subscriber
15204870,2015/12/3 13:45,2015/12/3 13:48,70340,219,1041,Fifth Ave & S Bouquet St,1039,Atwood St & Bates St,Customer
15204934,2015/12/3 13:55,2015/12/3 13:58,70203,207,1033,Ivy St & Walnut St,1029,Alder St & S Highland Ave,Subscriber
15205022,2015/12/3 14:09,2015/12/3 14:25,70269,946,1047,S 22nd St & E Carson St,1005,Forbes Ave & Grant St,Customer
15205086,2015/12/3 14:21,2015/12/3 14:24,70274,178,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
15205101,2015/12/3 14:24,2015/12/3 14:32,70111,443,1013,Isabella St & Federal St (PNC Park),1015,Federal St & E North Ave,Customer
15205138,2015/12/3 14:31,2015/12/3 14:34,70465,139,1050,Healthy Ride Hub,1050,Healthy Ride Hub,Customer
15205174,2015/12/3 14:39,2015/12/3 14:56,70437,1026,1016,17th St & Penn Ave,1006,Ross St & Sixth Ave (Steel Plaza T Station),Customer
15205307,2015/12/3 15:13,2015/12/3 15:24,70119,689,1033,Ivy St & Walnut St,1026,S Whitfield St & Baum Blvd,Subscriber
15205315,2015/12/3 15:15,2015/12/3 15:16,70129,70,1050,Healthy Ride Hub,1050,Healthy Ride Hub,Customer
15205337,2015/12/3 15:21,2015/12/3 15:25,70308,210,1041,Fifth Ave & S Bouquet St,1035,Fifth Ave & S Dithridge St,Subscriber
15205340,2015/12/3 15:22,2015/12/3 15:23,70129,38,1050,Healthy Ride Hub,1050,Healthy Ride Hub,Customer
15205354,2015/12/3 15:26,2015/12/3 15:27,70129,64,1050,Healthy Ride Hub,1050,Healthy Ride Hub,Customer
15205373,2015/12/3 15:30,2015/12/3 15:48,70235,1114,1051,Transit,1050,Healthy Ride Hub,Customer
15205375,2015/12/3 15:30,2015/12/3 15:40,70070,633,1021,Taylor St & Liberty Ave,1035,Fifth Ave & S Dithridge St,Subscriber
15205388,2015/12/3 15:34,2015/12/3 15:56,70442,1366,1027,Shady Ave and Ellsworth Ave,1043,Coltart Ave & Forbes Ave,Subscriber
15205392,2015/12/3 15:35,2015/12/3 16:02,70249,1607,1050,Healthy Ride Hub,1016,17th St & Penn Ave,Customer
15205412,2015/12/3 15:40,2015/12/3 15:47,70448,423,1038,Boulevard of the Allies & Parkview Ave,1036,Schenley Dr at Schenley Plaza (Carnegie Library,
15205419,2015/12/3 15:41,2015/12/3 15:59,70253,1069,1035,Fifth Ave & S Dithridge St,1049,S 12th St & E Carson St,Subscriber
15205436,2015/12/3 15:49,2015/12/3 15:54,70499,306,1038,Boulevard of the Allies & Parkview Ave,1036,Schenley Dr at Schenley Plaza (Carnegie Library,
15205448,2015/12/3 15:52,2015/12/3 15:57,70338,299,1029,Alder St & S Highland Ave,1033,Ivy St & Walnut St,Subscriber
